id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group
37098,0.0,2012-10-09,Rural Water Supply And Sanitat,0,DWE,31.98565804,-3.59635951,Kasela,0,Lake Tanganyika,Bufanka Centre,Shinyanga,17,5,Bukombe,Iyogela,0,True,GeoData Consultants Ltd,WUG,,True,0,other,other,other,wug,user-group,unknown,unknown,soft,good,dry,dry,shallow well,shallow well,groundwater,other,other
14530,0.0,2012-11-03,Halmashauri Ya Manispa Tabora,0,Halmashauri ya manispa tabora,32.8328152,-4.94493737,Mbugani,0,Lake Tanganyika,Maendeleo,Tabora,14,6,Tabora Urban,Uyui,0,True,GeoData Consultants Ltd,VWC,,True,0,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,milky,milky,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump
62607,10.0,2013-02-25,Siter Fransis,1675,DWE,35.48828939,-4.24204756,Kwa Leosi,0,Internal,Qatabradiki,Manyara,21,1,Babati,Dareda,148,True,GeoData Consultants Ltd,Water Board,,True,2008,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe
46053,0.0,2011-08-13,Kkkt,0,KKKT,33.14082786,-9.0593862,Jangi,0,Lake Rukwa,Chawama,Mbeya,12,6,Mbozi,Iyula,0,False,GeoData Consultants Ltd,VWC,,False,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump
47083,50.0,2013-02-08,Wateraid,1109,SEMA,34.21707668,-4.4305289000000005,Mkima,0,Internal,Mkima,Singida,13,1,Iramba,Mtoa,235,True,GeoData Consultants Ltd,WUA,Tyeme water supply,True,2011,mono,mono,motorpump,wua,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe
12465,0.0,2011-03-02,Tasaf,149,TASAF,38.98794361,-8.31488662,Msikitini,0,Rufiji,Mashariki,Pwani,60,53,Rufiji,Mbwara,1,True,GeoData Consultants Ltd,VWC,,True,2009,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe
12921,0.0,2011-07-05,Tadepa,0,LOCAL CONTRACT,31.41823984,-1.60679785,Kwa Muuguzi,0,Lake Victoria,Kibirizi,Kagera,18,2,Bukoba Rural,Kibirizi,0,True,GeoData Consultants Ltd,VWC,,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe
14606,6000.0,2011-03-06,Danida,1333,DANID,35.46584481,-7.71137073,none,0,Rufiji,Igangimale,Iringa,11,1,Iringa Rural,Nzihi,1,True,GeoData Consultants Ltd,VWC,Nzihi,True,1994,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe
9417,0.0,2011-07-14,Sawaka,0,Artisan,30.98302258,-1.68065404,Sawaka,0,Lake Victoria,Kagoye B,Kagera,18,1,Karagwe,Kiruruma,0,True,GeoData Consultants Ltd,,,True,0,gravity,gravity,gravity,private operator,commercial,never pay,never pay,soft,good,dry,dry,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe
71095,0.0,2013-01-30,Netherlands,0,DWE,0.0,-2e-08,none,0,Lake Victoria,Madukani,Shinyanga,17,1,Bariadi,Sakwe,0,,GeoData Consultants Ltd,VWC,,False,0,swn 80,swn 80,handpump,vwc,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump
38698,0.0,2011-04-17,Government Of Tanzania,0,Centr,36.11237521,-4.91391433,Kwa Mwinga,0,Internal,Irendi A,Dodoma,1,1,Kondoa,Kwadelo,0,True,GeoData Consultants Ltd,VWC,Ntom,False,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
71514,0.0,2012-11-13,Ministry Of Water,1187,Hesawa,33.92942551,-1.37629606,Kwa Rulian Nyakandago,0,Lake Victoria,Kigoma,Mara,20,6,Rorya,Kyang'ombe,200,False,GeoData Consultants Ltd,VWC,Mradi wa maji Komuge,False,1983,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,enough,enough,lake,river/lake,surface,communal standpipe,communal standpipe
